sku,date,pred
S004_P0007,2024-01-07,32.46955490112305
S004_P0007,2024-01-08,0.0
S004_P0008,2024-01-02,0.0
S004_P0008,2024-01-03,34.62979888916016
S004_P0008,2024-01-04,6.022329807281494
S004_P0008,2024-01-05,8.591917991638184
S004_P0008,2024-01-06,54.64294052124024
S004_P0008,2024-01-07,40.100399017333984
S004_P0008,2024-01-08,69.7250747680664
S004_P0009,2024-01-02,11.611047744750977
S004_P0009,2024-01-03,0.0
S004_P0009,2024-01-04,2.035063505172729
S004_P0009,2024-01-05,12.868670463562012
S004_P0009,2024-01-06,12.42392635345459
S004_P0009,2024-01-07,2.100839614868164
S004_P0009,2024-01-08,0.0
S004_P0010,2024-01-02,34.097618103027344
S004_P0010,2024-01-03,17.54167938232422
S004_P0010,2024-01-04,13.114095687866213
S004_P0010,2024-01-05,9.930391311645508
S004_P0010,2024-01-06,80.63677215576172
S004_P0010,2024-01-07,13.41116714477539
S004_P0010,2024-01-08,24.9476318359375
S004_P0011,2024-01-02,4.79439115524292
S004_P0011,2024-01-03,0.0
S004_P0011,2024-01-04,4.739724636077881
S004_P0011,2024-01-05,0.0
S004_P0011,2024-01-06,31.70510673522949
S004_P0011,2024-01-07,12.421381950378418
S004_P0011,2024-01-08,0.0
S004_P0012,2024-01-02,0.0
S004_P0012,2024-01-03,0.0
S004_P0012,2024-01-04,0.0
S004_P0012,2024-01-05,0.0
S004_P0012,2024-01-06,0.0
S004_P0012,2024-01-07,12.995654106140137
S004_P0012,2024-01-08,5.960227012634277
S004_P0013,2024-01-02,0.0
S004_P0013,2024-01-03,17.444881439208984
S004_P0013,2024-01-04,0.0
S004_P0013,2024-01-05,0.0
S004_P0013,2024-01-06,0.0
S004_P0013,2024-01-07,7.724921226501465
S004_P0013,2024-01-08,0.0
S004_P0014,2024-01-02,0.738187313079834
S004_P0014,2024-01-03,20.19798469543457
S004_P0014,2024-01-04,24.49539375305176
S004_P0014,2024-01-05,25.34500503540039
S004_P0014,2024-01-06,18.4954776763916
S004_P0014,2024-01-07,18.81390953063965
S004_P0014,2024-01-08,0.0
S004_P0015,2024-01-02,25.386404037475582
S004_P0015,2024-01-03,26.099143981933597
S004_P0015,2024-01-04,6.350807189941406
S004_P0015,2024-01-05,11.822263717651367
S004_P0015,2024-01-06,21.512510299682617
S004_P0015,2024-01-07,14.21868896484375
S004_P0015,2024-01-08,0.0
S004_P0016,2024-01-02,22.99064826965332
S004_P0016,2024-01-03,0.0
S004_P0016,2024-01-04,0.0
S004_P0016,2024-01-05,0.0
S004_P0016,2024-01-06,31.15673828125
S004_P0016,2024-01-07,26.837421417236328
S004_P0016,2024-01-08,39.20261764526367
S004_P0017,2024-01-02,1.479945182800293
S004_P0017,2024-01-03,0.0
S004_P0017,2024-01-04,0.0
S004_P0017,2024-01-05,5.125173091888428
S004_P0017,2024-01-06,2.534052610397339
S004_P0017,2024-01-07,19.931514739990234
